#{"t_start": 1777837958.6945293, "env_id": "None"}
r,l,t
-1.096366,500,15.762943
-1.916508,500,32.506668
-1.97589,500,45.224257
0.245093,500,58.248703
3.674359,500,73.649556
-0.996903,500,100.584775
-2.426466,500,116.220012
-2.330262,500,128.116062
-2.490159,500,140.38748
-2.182049,500,169.662777
-1.735927,500,188.164452
-2.611617,500,205.476671
-2.462622,500,241.649284
3.511502,500,268.361473
-1.528336,500,290.460523
-2.521551,500,316.103604
2.954342,500,337.590751
1.790842,500,362.143205
-1.511854,500,383.487569
-2.514919,500,399.101062
-1.945894,500,415.146924
8.394604,500,437.800478
-0.696472,500,450.731522
-2.554826,500,467.001316
1.01975,500,478.867208
-0.243193,500,496.442145
-2.116322,500,512.115346
2.780989,500,527.902622
5.996994,500,538.57599
37.158483,500,563.329553
-2.367612,500,583.588697
0.038378,500,619.357274
28.437116,500,633.699035
-1.556647,500,646.525806
2.425877,500,664.660802
3.911204,500,677.232706
-1.921093,500,689.861029
-2.015521,500,703.639238
-2.268857,500,716.534596
20.873468,500,733.894993
-2.001786,500,750.885879
22.746865,500,764.214582
12.831591,500,780.078604
3.078237,500,796.733437
23.64667,500,816.999701
-1.838414,500,839.474342
44.188187,500,852.579503
5.64813,500,873.655947
30.658893,500,886.930039
6.315476,500,898.58277
-0.021563,500,912.795641
4.971253,500,933.307468
-1.868745,500,946.085369
1.208878,500,959.743803
-0.184307,500,972.87524
28.12821,500,990.020904
63.891656,500,1003.976721
-1.367375,500,1026.186508
16.943646,500,1042.336375
1.89742,500,1054.335287
17.007376,500,1072.831632
9.3289,500,1086.496035
11.384175,500,1106.908466
-1.885419,500,1120.738524
-0.761488,500,1132.398996
-2.205562,500,1154.313471
30.194019,500,1166.75136
21.143774,500,1182.153769
-0.508466,500,1196.02033
75.388009,500,1208.351075
-2.060477,500,1221.653657
26.005548,500,1237.870749
33.708916,500,1255.666075
3.231584,500,1269.043141
-2.332524,500,1291.597862
82.930927,500,1323.505543
5.911281,500,1337.604645
4.248247,500,1350.695287
-1.677891,500,1365.135807
96.505896,500,1377.880538
0.214328,500,1390.330992
-2.552969,500,1399.938935
-2.456624,500,1415.110053
-0.740897,500,1424.901775
41.762042,500,1438.165309
16.125429,500,1447.834341
-1.789853,500,1465.302144
-1.804234,500,1476.151189
18.819059,500,1487.897122
-1.317401,500,1508.929735
21.947172,500,1525.493008
-1.66713,500,1540.533857
2.724283,500,1556.845031
11.334741,500,1572.190815
46.931256,500,1586.835784
19.944881,500,1607.017047
-0.539957,500,1619.536697
43.272209,500,1632.443885
17.687881,500,1646.150715
6.967181,500,1666.617933
5.877892,500,1704.505967
26.685325,500,1735.124867
2.178207,500,1747.523299
13.732768,500,1771.221932
126.591288,500,1785.313279
22.380379,500,1796.268666
21.287129,500,1809.246032
22.607172,500,1821.248712
14.283759,500,1835.812671
0.438041,500,1859.30142
33.047993,500,1873.50879
29.39836,500,1885.838178
6.045386,500,1913.427227
-0.751823,500,1925.511328
12.533253,500,1951.031897
4.059827,500,1972.511781
-0.989952,500,1986.527486
-1.796056,500,1998.217662
19.800532,500,2010.757864
30.366353,500,2031.578357
40.563539,500,2048.519908
-2.000878,500,2061.475073
10.773469,500,2082.39099
26.029924,500,2094.585945
5.927037,500,2108.654838
-1.651111,500,2121.941248
2.263561,500,2141.684993
