episode,timesteps,reward,length,success
1,500,-1.096366,500,0
2,1000,-1.916508,500,0
3,1500,-1.97589,500,0
4,2000,0.245093,500,0
5,2500,3.674359,500,0
6,3000,-0.996903,500,0
7,3500,-2.426466,500,0
8,4000,-2.330262,500,0
9,4500,-2.490159,500,0
10,5000,-2.182049,500,0
11,5500,-1.735927,500,0
12,6000,-2.611617,500,0
13,6500,-2.462622,500,0
14,7000,3.511502,500,0
15,7500,-1.528336,500,0
16,8000,-2.521551,500,0
17,8500,2.954342,500,0
18,9000,1.790842,500,0
19,9500,-1.511854,500,0
20,10000,-2.514919,500,0
21,10500,-1.945894,500,0
22,11000,8.394604,500,0
23,11500,-0.696472,500,0
24,12000,-2.554826,500,0
25,12500,1.01975,500,0
26,13000,-0.243193,500,0
27,13500,-2.116322,500,0
28,14000,2.780989,500,0
29,14500,5.996994,500,0
30,15000,37.158483,500,0
31,15500,-2.367612,500,0
32,16000,0.038378,500,0
33,16500,28.437116,500,0
34,17000,-1.556647,500,0
35,17500,2.425877,500,0
36,18000,3.911204,500,0
37,18500,-1.921093,500,0
38,19000,-2.015521,500,0
39,19500,-2.268857,500,0
40,20000,20.873468,500,0
41,20500,-2.001786,500,0
42,21000,22.746865,500,0
43,21500,12.831591,500,0
44,22000,3.078237,500,0
45,22500,23.64667,500,0
46,23000,-1.838414,500,0
47,23500,44.188187,500,0
48,24000,5.64813,500,0
49,24500,30.658893,500,0
50,25000,6.315476,500,0
51,25500,-0.021563,500,0
52,26000,4.971253,500,0
53,26500,-1.868745,500,0
54,27000,1.208878,500,0
55,27500,-0.184307,500,0
56,28000,28.12821,500,0
57,28500,63.891656,500,0
58,29000,-1.367375,500,0
59,29500,16.943646,500,0
60,30000,1.89742,500,0
61,30500,17.007376,500,0
62,31000,9.3289,500,0
63,31500,11.384175,500,0
64,32000,-1.885419,500,0
65,32500,-0.761488,500,0
66,33000,-2.205562,500,0
67,33500,30.194019,500,0
68,34000,21.143774,500,0
69,34500,-0.508466,500,0
70,35000,75.388009,500,0
71,35500,-2.060477,500,0
72,36000,26.005548,500,0
73,36500,33.708916,500,0
74,37000,3.231584,500,0
75,37500,-2.332524,500,0
76,38000,82.930927,500,0
77,38500,5.911281,500,0
78,39000,4.248247,500,0
79,39500,-1.677891,500,0
80,40000,96.505896,500,0
81,40500,0.214328,500,0
82,41000,-2.552969,500,0
83,41500,-2.456624,500,0
84,42000,-0.740897,500,0
85,42500,41.762042,500,0
86,43000,16.125429,500,0
